NM_MUNICIPIO;NM_LOCAL_VOTACAO;DS_ENDERECO;NM_BAIRRO;NR_CEP;NR_LATITUDE;NR_LONGITUDE
ALVORADA;ESCOLA MUNICIPAL GERALDO OLIVEIRA COSTA;RUA A S/N VILA MUTIRÃO;VILA MUTIRAO;77480000;-12.4814297;-49.1305249
ARAGUAÍNA;COLEGIO ESTADUAL ADEMAR VICENTE FERREIRA SOBRINHO;AVENIDA LONTRA, 727 BAIRRO JK;JK;77816190;-7.2022444;-48.2402256
PONTE ALTA DO TOCANTINS;ESCOLA ESTADUAL GIRASSOL DE TEMPO INTEGRAL ALCIDES RUFO;AVENIDA PRIMAVERA DO LESTE, S/N;SETOR SUL;77590000;-10.7531578;-47.5315776
ARAPOEMA;ESCOLA MUNICIPAL FRANCISCO JOSÉ PEREIRA;EX - ESTADUAL - AVENIDA DOS GARIMPEIROS, S/N;SETOR PLANO NOVO;77780000;-7.6572653;-49.0650767
ARAGUAÍNA;COLEGIO ESTADUAL RUI BARBOSA;RUA TOMAZ BATISTA, 105;JK;77816050;-7.2065767;-48.2397109
TABOCÃO;ESC. MUNICIPAL FRANCISCO PINHEIRO DA SILVEIRA;RUA FLOR DE MAIO, S/N ESQ. C/ FLANBOYANT;SETOR CENTENARIO;77708000;-9.078865400000002;-48.598804
ARAGUAÍNA;ESCOLA ESTADUAL JOAO GUILHERME LEITE KUNZE;RUA SAO PEDRO, 560;SETOR SAO MIGUEL;77817260;-7.1983319;-48.2305277
SÍTIO NOVO DO TOCANTINS;ESCOLA MUNICIPAL DUQUE DE CAXIAS;RUA CEARÁ, 712;CENTRO;77940000;-5.6010827;-47.6425528
PALMAS;ESCOLA MUNICIPAL MARIA VERÔNICA ALVES DE SOUSA;RUA 12, APM 08;JARDIM AURENY IV;77060034;-10.3017858;-48.3038308
SANTA RITA DO TOCANTINS;ESCOLA MUNICIPAL RURAL MENINO JESUS;ASSENTAMENTO SAO JUDAS TADEU;ZONA RURAL;77565000;-11.034625;-49.5907983
ITAGUATINS;ESCOLA MUNICIPAL SANTO ANTONIO DA CACHOEIRA;RUA RUI BARBOSA, S/N;CENTRO;77920000;-5.7682624;-47.4831966
PALMAS;MAPLE BEAR PALMAS;ACSU SO 70 RUA NS A 10 A;PLANO DIRETOR SUL;77017003;-10.2278312;-48.3349013
PALMAS;ESCOLA MUNICIPAL MARIA JULIA AMORIM SOARES RODRIGUES;RUA 22, QD 42-A APM 11;JARDIM AURENY III;77062072;-10.3241255;-48.32179106
MIRANORTE;ESCOLA MUNICIPAL ANTÔNIO PEREIRA DE SOUSA - ANEXO I;AVENIDA TOCANTINS, 591;CENTRO;77660000;-9.5331033;-48.5876588
PALMAS;ESCOLA MUNICIPAL DE TEMPO INTEGRAL CORA CORALINA;603 NORTE APM-26 ALAMEDA 10;PLANO DIRETOR NORTE;77000000;-10.1528383;-48.3266157
GOIANORTE;CRECHE MUNICIPAL EDILEUZA MARIA ARAUJO;RUA DEUSDETH OLIVEIRA ROCHA;CENTRO;77695000;-8.77321582;-48.93234865
SANTA FÉ DO ARAGUAIA;ESCOLA MUNICIPAL EMMANUEL;COMUNIDADE QUILOMBOLA COCALIM - RUA MARIA NEUSA, SN;ZONA RURAL;77848000;-7.0985831;-48.707408
GURUPI;CRECHE CEMEI TÂNIA SCOTTA;RUA 48, ESQUINA COM RUA E, LT 11, S/N;PARQUE RESIDENCIAL NOVA FRONTEIRA;77415300;-11.7501985;-49.0647133
ESPERANTINA;ESCOLA MUNICIPAL D. PEDRO I;RUA ALAIDES FARIAS, N 101, VILA TOCANTINS;VILA TOCANTINS;77993000;-5.3141563;-48.4650136
MIRANORTE;CEM - RUI BRASIL CAVALCANTE;RUA 27 S/N;VILA MARIA;77660000;-9.53642;-48.5910785
PARAÍSO DO TOCANTINS;INSTITUTO PRESBITERIANO VALE DO TOCANTINS;RUA TAPAJOS, 151;CENTRO;77600000;-10.17502625;-48.88179959
GOIATINS;ESCOLA ESTADUAL INDÍGENA CROKROC;ALDEIA CACHOEIRA;ALDEIA INDÍGENA;77770000;-8.2582935;-47.5154329
TOCANTINÓPOLIS;ESCOLA PAROQUIAL CRISTO REI;AVENIDA NOSSA SENHORA DE FÁTIMA, 1262;CEU AZUL;77900000;-6.3253103;-47.4251727
GURUPI;COLEGIO ESTADUAL BOM JESUS;AVENIDA PARAIBA, 1103 - ESQUINA COM RUA 13;CENTRO;77400000;-11.7289967;-49.0575617
PORTO ALEGRE DO TOCANTINS;ESCOLA MUNICIPAL JOAQUIM ARAÚJO;RUA TIRADENTES;CENTRO;77395000;-11.6089553;-47.0502824
PEQUIZEIRO;ESCOLA MUNICIPAL AYRTON SENNA;AVENIDA SÃO PAULO, S/N;SETOR AEROPORTO;77730000;-8.59447283;-48.93717338
TAGUATINGA;COLEGIO MILITAR DO ESTADO DO TOCANTINS AGOSTINHO DE ALMEIDA;AVENIDA 15 DE AGOSTO, S/N;CENTRO;77320000;-12.4070905;-46.4345849
GURUPI;INSTITUTO EDUCACIONAL PASSO A PASSO;AV. RORAIMA;VILA ALAGOANA;77433100;-11.72325856;-49.08439329
PIUM;ESCOLA ESTADUAL BARTOLOMEU BUENO;RUA 12   S/N;CENTRO;77570000;-10.4416783;-49.1795913
ARAGUAÍNA;COLEGIO ESTADUAL JORGE AMADO;RUA ADEMAR VICENTE FERREIRA, 296;SETOR NOROESTE;77824140;-7.1820069;-48.2072945
LAGOA DA CONFUSÃO;IFTO - INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO TOCANTINS;RUA 02 LOTE 01 QUADRA 05-A;LAGOA DA ILHA;77493000;-10.8002132;-49.6290315
TOCANTINÓPOLIS;COLÉGIO DOM ORIONE;RUA DOM ORIONE, 435;CENTRO;77900000;-6.3286581;-47.4160494
GUARAÍ;COLÉGIO ESTADUAL RAIMUNDO ALENCAR  LEÃO;AVENIDA JK, N. 2747;SETOR UNIVERSITÁRIO;77700000;-8.84164667;-48.505755
PALMAS;COLÉGIO  ESTADUAL SÃO JOSÉ;1106 SUL(ARSE 112) APM-06 ALAMEDA 25;PLANO DIRETOR SUL;77024088;-10.2530104;-48.3217261
NATIVIDADE;ESCOLA ESTADUAL DR QUINTILIANO DA SILVA ;AVENIDA V-3 SETOR GINASIAL;CENTRO;77370000;-11.7100083;-47.7262869
LAVANDEIRA;COLEGIO ESTADUAL DA LAVANDEIRA;RUA PRINCIPAL, S/N;CENTRO;77328000;-12.7880127;-46.5048229
